Name,Status,HierarchyPath
C01_Spinal_nerve_456ventral_ramus789_L,Inactive,Nervous_system/Head_and_Neck/Common/C01_Spinal_nerve_456ventral_ramus789_L
Third_rib_L,Inactive,Skeleton_system/Thorax/Third_rib_L
Sartorius_male_L,Inactive,Muscle_system/Lower_Limb_L/Male/Sartorius_male_L
Anterior_vagal_trunkABCDEFG,Inactive,Nervous_system/Abdomen/Common/Anterior_vagal_trunkABCDEFG
Pelvis_and_Hip,Active,Reproductive_system/Pelvis_and_Hip
Male,Inactive,Skin_system/Abdomen/Male
Accessory_cephalic_R,Inactive,Vein_system/Arm_R/Accessory_cephalic_R
Triceps_456triceps_brachii789_long_head_L,Inactive,Muscle_system/Arm_L/Triceps_456triceps_brachii789_long_head_L
C05246C06_Intervertebral_disc,Inactive,Skeleton_system/Head_and_Neck/C05246C06_Intervertebral_disc
Inferior_cervical_456sympathetic789_cardiac_nerve_R,Inactive,Nervous_system/Thorax/Common/Inferior_cervical_456sympathetic789_cardiac_nerve_R
Stylomandibular_ligament_R,Inactive,Ligament_system/Head_and_Neck/Common/Stylomandibular_ligament_R
Mastoid_foramen_L,Inactive,Skeleton_system/Head_and_Neck/Mastoid_foramen_L
Epididymis_R,Inactive,Reproductive_system/Pelvis_and_Hip/Male/Epididymis_R
Superficial_fibular_456peroneal789_medial_dorsal_cutaneous_branch_L,Inactive,Nervous_system/Lower_Limb_L/Common/Superficial_fibular_456peroneal789_medial_dorsal_cutaneous_branch_L
L01_Dorsal_ramus_R,Active,Nervous_system/Pelvis_and_Hip/Common/L01_Dorsal_ramus_R
T04_Dorsal_ramus_medial_branch_L,Inactive,Nervous_system/Back/Common/T04_Dorsal_ramus_medial_branch_L
Back,Inactive,Vein_system/Back
group8,Inactive,Artery_system/Thorax/heart/group8
Lateral_sacral_female_R_A,Active,Artery_system/Pelvis_and_Hip/Female/Lateral_sacral_female_R_A
Female_skin_leg_upper_L,Active,Skin_system/Lower_Limb_L/Female/Female_skin_leg_upper_L
S01_Dorsal_root_ganglion_female_L,Inactive,Nervous_system/Pelvis_and_Hip/FemaUVWXYZle/S01_Dorsal_root_ganglion_female_L
Mitral_456bicuspid789_valve_posterolateral_456mural789_leaflet,Inactive,Artery_system/Thorax/heart/group5/Mitral_456bicuspid789_valve_posterolateral_456mural789_leaflet
Adductor_hallucis_456transverse_head789_L,Inactive,Muscle_system/Lower_Limb_L/Common/Adductor_hallucis_456transverse_head789_L
Common,Inactive,Ligament_system/Back/Common
Radiate_carpal_ligament_lunotriquetral_L,Inactive,Ligament_system/Arm_L/Radiate_carpal_ligament_lunotriquetral_L
Quadratus_femoris_female_L,Active,Muscle_system/Pelvis_and_Hip/Female/Quadratus_femoris_female_L
Suprahyoid_lymph_node_R,Inactive,Lymphatic_system/Head_and_Neck/Suprahyoid_lymph_node_R
Suprapatellar_bursa_R,Inactive,Muscle_system/Lower_Limb_R/Common/Suprapatellar_bursa_R
Larynx,Inactive,Respiratory_system/HABCDEFGead_and_Neck/Repetition_with_Thorax/Larynx
Inferior_hypogastric_plexus_L,Inactive,Nervous_system/Abdomen/Repetition_with_PelvisHip/Common/Inferior_hypogastric_plexus_L
T04_Spinal_nerve_456ventral_ramus789_R,Inactive,Nervous_system/Thorax/Common/T04_Spinal_nerve_456ventral_ramus789_R
Posterior_longitudinal_ligament_thoracic_region_maleABCDEFG,Inactive,Ligament_system/Back/Male/Posterior_longitudinal_ligament_thoracic_region_maleABCDEFG
C07_Dorsal_root_R,Inactive,Nervous_system/Head_and_Neck/Common/C07_Dorsal_root_R
Plantar_calcaneocuboid_456short_plantar789_ligament_L,Inactive,Ligament_system/Lower_Limb_L/Common/Plantar_calcaneocuboid_456short_plantar789_ligament_L
Mentalis_L,Inactive,Muscle_system/Head_and_Neck/Mentalis_L
ABCDEFG2nd_Proximal_phalanx_hand_R,Inactive,Skeleton_system/Arm_R/ABCDEFG2nd_Proximal_phalanx_hand_R
CN_07_456VII789_Zygomatic_R,Inactive,Nervous_system/Head_and_Neck/Common/CN_07_456VII789_Zygomatic_R
CN_10_456X789_Pharyngeal_branch_R,Inactive,Nervous_system/Head_and_Neck/Common/CN_10_456X789_Pharyngeal_branch_R
Abdomen,Inactive,Digestive_system/Abdomen
